text,path,num_frames,width,height,trajectory_maps_path,videoid,mask_start_index,mask_end_index,box_path
 waving flag of india,/datadrive3/pure_data/videos/13190489.mp4,638,1920,1080,/datadrive3/pure_data/masks/13190489,13190489,0,637,/datadrive3/pure_data/boxs/13190489
"A person in a plain white t-shirt and black pants stands against a white background, with their body slightly turned to the side.",/datadrive3/pure_data/videos/6668693.mp4,215,606,1080,/datadrive3/pure_data/masks/6668693,6668693,0,214,/datadrive3/pure_data/boxs/6668693
"Two individuals stand close by the seaside rocks, one gesturing towards the other amidst a calm, coastal backdrop.",/datadrive3/pure_data/videos/4918299.mp4,151,1920,1080,/datadrive3/pure_data/masks/4918299,4918299,0,150,/datadrive3/pure_data/boxs/4918299
 woman posing on marble wall,/datadrive3/pure_data/videos/6328479.mp4,999,568,1080,/datadrive3/pure_data/masks/6328479,6328479,0,998,/datadrive3/pure_data/boxs/6328479
"A group of individuals engages in a lively discussion in a locker room, with one person gesturing animatedly, while another holds a basketball.",/datadrive3/pure_data/videos/6764402.mp4,360,1920,1012,/datadrive3/pure_data/masks/6764402,6764402,0,359,/datadrive3/pure_data/boxs/6764402
 a fencer practicing on a dummy,/datadrive3/pure_data/videos/6536658.mp4,441,1920,1080,/datadrive3/pure_data/masks/6536658,6536658,0,440,/datadrive3/pure_data/boxs/6536658
"Two individuals are enjoying a serene moment by the water, with a portable table set between their camping chairs, holding a thermos and a container.",/datadrive3/pure_data/videos/6263356.mp4,254,1920,1080,/datadrive3/pure_data/masks/6263356,6263356,0,253,/datadrive3/pure_data/boxs/6263356
 two kids removing the ornaments from the christmas tree,/datadrive3/pure_data/videos/6127665.mp4,1948,568,1080,/datadrive3/pure_data/masks/6127665,6127665,0,1947,/datadrive3/pure_data/boxs/6127665
"A person with a unique hairstyle stands wearing a pink satin top, layered chain necklaces, and a black strap over their shoulder, against a blurred green background.",/datadrive3/pure_data/videos/10200815.mp4,222,568,1080,/datadrive3/pure_data/masks/10200815,10200815,0,221,/datadrive3/pure_data/boxs/10200815
 two women walking outdoors while discussing their notes,/datadrive3/pure_data/videos/5536735.mp4,220,1920,1080,/datadrive3/pure_data/masks/5536735,5536735,0,219,/datadrive3/pure_data/boxs/5536735
"A person is sitting on a couch and painting their nails with a dark polish, with a glass dish beside them.",/datadrive3/pure_data/videos/6448149.mp4,287,1920,1080,/datadrive3/pure_data/masks/6448149,6448149,0,286,/datadrive3/pure_data/boxs/6448149
 a happy man embracing a woman holding a white mug while sitting on the sofa,/datadrive3/pure_data/videos/6570955.mp4,349,1920,810,/datadrive3/pure_data/masks/6570955,6570955,0,348,/datadrive3/pure_data/boxs/6570955
 low angle view of a person jogging outdoors,/datadrive3/pure_data/videos/6022787.mp4,377,1920,1080,/datadrive3/pure_data/masks/6022787,6022787,0,376,/datadrive3/pure_data/boxs/6022787
 men with face masks training in gym,/datadrive3/pure_data/videos/6116009.mp4,246,1920,1080,/datadrive3/pure_data/masks/6116009,6116009,0,245,/datadrive3/pure_data/boxs/6116009
 a man drinking coffee while ice fishing,/datadrive3/pure_data/videos/6831203.mp4,779,606,1080,/datadrive3/pure_data/masks/6831203,6831203,0,778,/datadrive3/pure_data/boxs/6831203
 children running towards the smoke,/datadrive3/pure_data/videos/5607535.mp4,319,1920,1012,/datadrive3/pure_data/masks/5607535,5607535,0,318,/datadrive3/pure_data/boxs/5607535
 side view mirror of a car driving on a highway,/datadrive3/pure_data/videos/12601957.mp4,812,606,1080,/datadrive3/pure_data/masks/12601957,12601957,0,811,/datadrive3/pure_data/boxs/12601957
"A person stretches joyfully on a bed in a sunny, brick-walled room with white bedding and decorative oval wall plates.",/datadrive3/pure_data/videos/4008308.mp4,524,1920,1012,/datadrive3/pure_data/masks/4008308,4008308,0,523,/datadrive3/pure_data/boxs/4008308
 man setting up a hammock,/datadrive3/pure_data/videos/6263351.mp4,250,1920,1080,/datadrive3/pure_data/masks/6263351,6263351,0,249,/datadrive3/pure_data/boxs/6263351
 mural on a building,/datadrive3/pure_data/videos/2836314.mp4,354,1920,1080,/datadrive3/pure_data/masks/2836314,2836314,0,353,/datadrive3/pure_data/boxs/2836314
 frozen road and forest in winter,/datadrive3/pure_data/videos/10130265.mp4,105,1920,1080,/datadrive3/pure_data/masks/10130265,10130265,0,104,/datadrive3/pure_data/boxs/10130265
Two computer monitors displaying complex audio mixing software sit atop a soundboard with numerous buttons and sliders at a live event.,/datadrive3/pure_data/videos/19233938.mp4,293,1920,1080,/datadrive3/pure_data/masks/19233938,19233938,0,292,/datadrive3/pure_data/boxs/19233938
 a woman swimming in the pool,/datadrive3/pure_data/videos/6539544.mp4,481,1920,1080,/datadrive3/pure_data/masks/6539544,6539544,0,480,/datadrive3/pure_data/boxs/6539544
"A person sits on a brown leather chair against a green backdrop, brushing their hair with a motion blur effect.",/datadrive3/pure_data/videos/4194831.mp4,648,1920,1080,/datadrive3/pure_data/masks/4194831,4194831,0,647,/datadrive3/pure_data/boxs/4194831
"A partially obscured view of a dimly lit casino, showcasing black pendant lights and a neon sign advertising live poker.",/datadrive3/pure_data/videos/3994843.mp4,629,1920,1080,/datadrive3/pure_data/masks/3994843,3994843,0,628,/datadrive3/pure_data/boxs/3994843
"A person stretches their arms up amidst a sunlit, verdant park with abundant trees and a fence-lined pathway.",/datadrive3/pure_data/videos/4449934.mp4,586,1920,1080,/datadrive3/pure_data/masks/4449934,4449934,0,585,/datadrive3/pure_data/boxs/4449934
"A person stands behind a podium, gesturing passionately during a presentation in a sunlit modern room with glass doors.",/datadrive3/pure_data/videos/11806324.mp4,467,1920,1080,/datadrive3/pure_data/masks/11806324,11806324,0,466,/datadrive3/pure_data/boxs/11806324
"A blurred image of a person in the background with a focus on the green plants in the foreground, creating a serene and natural atmosphere.",/datadrive3/pure_data/videos/4768095.mp4,397,1920,1080,/datadrive3/pure_data/masks/4768095,4768095,0,396,/datadrive3/pure_data/boxs/4768095
 a person writing on a paper,/datadrive3/pure_data/videos/6830386.mp4,854,1920,1012,/datadrive3/pure_data/masks/6830386,6830386,0,853,/datadrive3/pure_data/boxs/6830386
 men doing fist bomb in the beach,/datadrive3/pure_data/videos/6179959.mp4,179,1920,1080,/datadrive3/pure_data/masks/6179959,6179959,0,178,/datadrive3/pure_data/boxs/6179959
 a woman swimming in the pool,/datadrive3/pure_data/videos/6012388.mp4,350,1920,1080,/datadrive3/pure_data/masks/6012388,6012388,0,349,/datadrive3/pure_data/boxs/6012388
 beautiful sunflower in the wind,/datadrive3/pure_data/videos/5366270.mp4,195,1920,1080,/datadrive3/pure_data/masks/5366270,5366270,0,194,/datadrive3/pure_data/boxs/5366270
 a man and woman dancing together,/datadrive3/pure_data/videos/6949112.mp4,251,1920,1080,/datadrive3/pure_data/masks/6949112,6949112,0,250,/datadrive3/pure_data/boxs/6949112
 an aerial footage of a couple on the seashore,/datadrive3/pure_data/videos/4725028.mp4,235,1920,1080,/datadrive3/pure_data/masks/4725028,4725028,0,234,/datadrive3/pure_data/boxs/4725028
 an empty park covered in ice brought by the snowfall,/datadrive3/pure_data/videos/3083427.mp4,422,1920,1080,/datadrive3/pure_data/masks/3083427,3083427,0,421,/datadrive3/pure_data/boxs/3083427
"A child reads a book under a colorful makeshift tent, surrounded by a bowl of popcorn and two adults.",/datadrive3/pure_data/videos/6670287.mp4,1856,568,1080,/datadrive3/pure_data/masks/6670287,6670287,0,1855,/datadrive3/pure_data/boxs/6670287
 scenic view of a beautiful lake,/datadrive3/pure_data/videos/5138887.mp4,146,606,1080,/datadrive3/pure_data/masks/5138887,5138887,0,145,/datadrive3/pure_data/boxs/5138887
 a boy smiling for the camera,/datadrive3/pure_data/videos/5552625.mp4,173,1920,1080,/datadrive3/pure_data/masks/5552625,5552625,0,172,/datadrive3/pure_data/boxs/5552625
 man and woman boating,/datadrive3/pure_data/videos/6328332.mp4,1782,1920,1012,/datadrive3/pure_data/masks/6328332,6328332,0,1781,/datadrive3/pure_data/boxs/6328332
 man dancing beside a christmas tree,/datadrive3/pure_data/videos/6518074.mp4,350,606,1080,/datadrive3/pure_data/masks/6518074,6518074,0,349,/datadrive3/pure_data/boxs/6518074
 two women looking at drawings and comparing them,/datadrive3/pure_data/videos/5384822.mp4,307,1920,1012,/datadrive3/pure_data/masks/5384822,5384822,0,306,/datadrive3/pure_data/boxs/5384822
 aerial shot of white palace,/datadrive3/pure_data/videos/5741488.mp4,144,1920,1080,/datadrive3/pure_data/masks/5741488,5741488,0,143,/datadrive3/pure_data/boxs/5741488
"A close-up captures a person's ear and hair at dusk, with a hint of a windy environment.",/datadrive3/pure_data/videos/10570658.mp4,1045,1920,1012,/datadrive3/pure_data/masks/10570658,10570658,0,1044,/datadrive3/pure_data/boxs/10570658
 a woman tying a tree on a car,/datadrive3/pure_data/videos/6127112.mp4,351,1920,1012,/datadrive3/pure_data/masks/6127112,6127112,0,350,/datadrive3/pure_data/boxs/6127112
"A bright, golden-yellow squash blossom proudly unfolds its petals, contrasting with the surrounding lush greenery.",/datadrive3/pure_data/videos/5194829.mp4,332,1920,1080,/datadrive3/pure_data/masks/5194829,5194829,0,331,/datadrive3/pure_data/boxs/5194829
 mom and son having fun riding a swing,/datadrive3/pure_data/videos/4978361.mp4,428,1920,1080,/datadrive3/pure_data/masks/4978361,4978361,0,427,/datadrive3/pure_data/boxs/4978361
"The image shows a child's feet in polka dot socks, resting on a colorful children's book, with a wooden toy train on tracks nearby.",/datadrive3/pure_data/videos/4016501.mp4,368,1920,1080,/datadrive3/pure_data/masks/4016501,4016501,0,367,/datadrive3/pure_data/boxs/4016501
 a close up shot of a spraying bottle,/datadrive3/pure_data/videos/4440707.mp4,59,606,1080,/datadrive3/pure_data/masks/4440707,4440707,0,58,/datadrive3/pure_data/boxs/4440707
 a woman puts a red flower on a grave then sits,/datadrive3/pure_data/videos/6840423.mp4,350,1920,1080,/datadrive3/pure_data/masks/6840423,6840423,0,349,/datadrive3/pure_data/boxs/6840423
 close up shot of a snail,/datadrive3/pure_data/videos/5219350.mp4,327,1920,1080,/datadrive3/pure_data/masks/5219350,5219350,0,326,/datadrive3/pure_data/boxs/5219350
 men having a conversation,/datadrive3/pure_data/videos/4428750.mp4,306,1920,1080,/datadrive3/pure_data/masks/4428750,4428750,0,305,/datadrive3/pure_data/boxs/4428750
 man wearing disposable coverall while cleaning the floor,/datadrive3/pure_data/videos/6197562.mp4,719,606,1080,/datadrive3/pure_data/masks/6197562,6197562,0,718,/datadrive3/pure_data/boxs/6197562
A person wearing a chunky beige sweater and black boots is sitting with their legs crossed on a patterned chair behind a wooden table with ornate metal legs.,/datadrive3/pure_data/videos/6024454.mp4,131,606,1080,/datadrive3/pure_data/masks/6024454,6024454,0,130,/datadrive3/pure_data/boxs/6024454
 flames in bonfire during night,/datadrive3/pure_data/videos/11216732.mp4,492,1920,1080,/datadrive3/pure_data/masks/11216732,11216732,0,491,/datadrive3/pure_data/boxs/11216732
 close up on man body while stretching,/datadrive3/pure_data/videos/10639404.mp4,473,1920,1012,/datadrive3/pure_data/masks/10639404,10639404,0,472,/datadrive3/pure_data/boxs/10639404
 food on the bed,/datadrive3/pure_data/videos/5353266.mp4,188,1920,1080,/datadrive3/pure_data/masks/5353266,5353266,0,187,/datadrive3/pure_data/boxs/5353266
"As the sun sets, the sky is painted with vibrant shades of red and orange contrasting the silhouettes of the city buildings.",/datadrive3/pure_data/videos/18999795.mp4,811,606,1080,/datadrive3/pure_data/masks/18999795,18999795,0,810,/datadrive3/pure_data/boxs/18999795
 couple running on rocky shore,/datadrive3/pure_data/videos/6320388.mp4,228,568,1080,/datadrive3/pure_data/masks/6320388,6320388,0,227,/datadrive3/pure_data/boxs/6320388
"A person stands in a red-lit room with a neon flame on the wall, their hand raised in a gesture.",/datadrive3/pure_data/videos/13710606.mp4,1085,606,1080,/datadrive3/pure_data/masks/13710606,13710606,0,1084,/datadrive3/pure_data/boxs/13710606
 attractive couple at golf fields,/datadrive3/pure_data/videos/6230171.mp4,598,1920,1012,/datadrive3/pure_data/masks/6230171,6230171,0,597,/datadrive3/pure_data/boxs/6230171
 person slicing half a pizza,/datadrive3/pure_data/videos/6093662.mp4,420,568,1080,/datadrive3/pure_data/masks/6093662,6093662,0,419,/datadrive3/pure_data/boxs/6093662
 person chopping red cabbage,/datadrive3/pure_data/videos/6811291.mp4,436,1920,1012,/datadrive3/pure_data/masks/6811291,6811291,0,435,/datadrive3/pure_data/boxs/6811291
 volunteers walking with the dog while searching in the forest,/datadrive3/pure_data/videos/10363700.mp4,85,1920,1012,/datadrive3/pure_data/masks/10363700,10363700,0,84,/datadrive3/pure_data/boxs/10363700
 woman working at cafeteria,/datadrive3/pure_data/videos/6683741.mp4,259,1920,1080,/datadrive3/pure_data/masks/6683741,6683741,0,258,/datadrive3/pure_data/boxs/6683741
 footage of someone putting ice in the glass,/datadrive3/pure_data/videos/3783027.mp4,323,1920,1080,/datadrive3/pure_data/masks/3783027,3783027,0,322,/datadrive3/pure_data/boxs/3783027
 a woman applying shadows makeup under her eye,/datadrive3/pure_data/videos/3181513.mp4,535,1920,1080,/datadrive3/pure_data/masks/3181513,3181513,0,534,/datadrive3/pure_data/boxs/3181513
 an athlete practicing karate moves,/datadrive3/pure_data/videos/6005336.mp4,251,606,1080,/datadrive3/pure_data/masks/6005336,6005336,0,250,/datadrive3/pure_data/boxs/6005336
 water pond and castle in birds eye view,/datadrive3/pure_data/videos/13144371.mp4,182,1920,1080,/datadrive3/pure_data/masks/13144371,13144371,0,181,/datadrive3/pure_data/boxs/13144371
 men in the middle of a desert,/datadrive3/pure_data/videos/5850472.mp4,417,1920,1012,/datadrive3/pure_data/masks/5850472,5850472,0,416,/datadrive3/pure_data/boxs/5850472
A person scrolls through a blurry Instagram feed with a finger on a smartphone screen.,/datadrive3/pure_data/videos/4232959.mp4,203,1920,1080,/datadrive3/pure_data/masks/4232959,4232959,0,202,/datadrive3/pure_data/boxs/4232959
 close up video of a person running at the beach,/datadrive3/pure_data/videos/6520308.mp4,211,1920,924,/datadrive3/pure_data/masks/6520308,6520308,0,210,/datadrive3/pure_data/boxs/6520308
 a woman cooking food,/datadrive3/pure_data/videos/4912628.mp4,51,1920,1080,/datadrive3/pure_data/masks/4912628,4912628,0,50,/datadrive3/pure_data/boxs/4912628
 a couple holding hands tightly,/datadrive3/pure_data/videos/4918246.mp4,194,606,1080,/datadrive3/pure_data/masks/4918246,4918246,0,193,/datadrive3/pure_data/boxs/4918246
"An individual with curly hair leans on a metal railing by a calm waterway, under a clear sky with a streetlight standing tall in the background.",/datadrive3/pure_data/videos/4613297.mp4,1010,568,1080,/datadrive3/pure_data/masks/4613297,4613297,0,1009,/datadrive3/pure_data/boxs/4613297
 person cooking on a griller,/datadrive3/pure_data/videos/4909057.mp4,25,1920,1080,/datadrive3/pure_data/masks/4909057,4909057,0,24,/datadrive3/pure_data/boxs/4909057
 friends playing video games,/datadrive3/pure_data/videos/6686155.mp4,2070,1920,1012,/datadrive3/pure_data/masks/6686155,6686155,0,2069,/datadrive3/pure_data/boxs/6686155
 a float in a street parade passing by,/datadrive3/pure_data/videos/4819179.mp4,269,1920,1080,/datadrive3/pure_data/masks/4819179,4819179,0,268,/datadrive3/pure_data/boxs/4819179
"A person in a white coat engages with a glowing, high-tech device, amidst a sterile, blue-tinged environment.",/datadrive3/pure_data/videos/6499161.mp4,366,606,1080,/datadrive3/pure_data/masks/6499161,6499161,0,365,/datadrive3/pure_data/boxs/6499161
 a customer buying from a store,/datadrive3/pure_data/videos/4053579.mp4,380,1920,1080,/datadrive3/pure_data/masks/4053579,4053579,0,379,/datadrive3/pure_data/boxs/4053579
 close up footage of a woman putting make up on her face,/datadrive3/pure_data/videos/5067902.mp4,209,1920,1080,/datadrive3/pure_data/masks/5067902,5067902,0,208,/datadrive3/pure_data/boxs/5067902
 clouds over road among fields,/datadrive3/pure_data/videos/12196437.mp4,442,606,1080,/datadrive3/pure_data/masks/12196437,12196437,0,441,/datadrive3/pure_data/boxs/12196437
 people having a toast,/datadrive3/pure_data/videos/5847789.mp4,223,1920,810,/datadrive3/pure_data/masks/5847789,5847789,0,222,/datadrive3/pure_data/boxs/5847789
A woman gestures with her hands while conversing across a table in a room with dim ambient lighting.,/datadrive3/pure_data/videos/4694334.mp4,390,568,1080,/datadrive3/pure_data/masks/4694334,4694334,0,389,/datadrive3/pure_data/boxs/4694334
 a close up shot of a lifebuoy,/datadrive3/pure_data/videos/3918100.mp4,519,1920,1080,/datadrive3/pure_data/masks/3918100,3918100,0,518,/datadrive3/pure_data/boxs/3918100
 woman putting wood logs in fireplace,/datadrive3/pure_data/videos/6607124.mp4,495,1920,1012,/datadrive3/pure_data/masks/6607124,6607124,0,494,/datadrive3/pure_data/boxs/6607124
 person doing non verbal communication with hands,/datadrive3/pure_data/videos/10373873.mp4,627,1920,1080,/datadrive3/pure_data/masks/10373873,10373873,0,626,/datadrive3/pure_data/boxs/10373873
"Two individuals are seated at a wooden dining table, with one extending an arm towards the other in a comforting gesture.",/datadrive3/pure_data/videos/6296762.mp4,226,1920,1080,/datadrive3/pure_data/masks/6296762,6296762,0,225,/datadrive3/pure_data/boxs/6296762
 young woman smiling looking at camera,/datadrive3/pure_data/videos/5337114.mp4,277,1920,1080,/datadrive3/pure_data/masks/5337114,5337114,0,276,/datadrive3/pure_data/boxs/5337114
 a beautiful woman using fork and knife,/datadrive3/pure_data/videos/6236331.mp4,610,568,1080,/datadrive3/pure_data/masks/6236331,6236331,0,609,/datadrive3/pure_data/boxs/6236331
 elderly man working out,/datadrive3/pure_data/videos/6892552.mp4,221,606,1080,/datadrive3/pure_data/masks/6892552,6892552,0,220,/datadrive3/pure_data/boxs/6892552
"A woman with curly hair is bent over in a living room, adjusting a cable on an entertainment system.",/datadrive3/pure_data/videos/4109208.mp4,360,568,1080,/datadrive3/pure_data/masks/4109208,4109208,0,359,/datadrive3/pure_data/boxs/4109208
 beautiful woman applying lip liner,/datadrive3/pure_data/videos/5173822.mp4,266,1920,1012,/datadrive3/pure_data/masks/5173822,5173822,0,265,/datadrive3/pure_data/boxs/5173822
 a woman sitting while surrounded with chamomile flowers,/datadrive3/pure_data/videos/10549752.mp4,642,1920,1012,/datadrive3/pure_data/masks/10549752,10549752,0,641,/datadrive3/pure_data/boxs/10549752
 woman scrubbing her legs with a brush,/datadrive3/pure_data/videos/5308619.mp4,274,1920,1080,/datadrive3/pure_data/masks/5308619,5308619,0,273,/datadrive3/pure_data/boxs/5308619
A person in a red sweater holds a light-up sign that reads 'Merry Xmas 2021' with string lights draped over their arm.,/datadrive3/pure_data/videos/6328609.mp4,145,1920,1080,/datadrive3/pure_data/masks/6328609,6328609,0,144,/datadrive3/pure_data/boxs/6328609
 turning pages of a magazine,/datadrive3/pure_data/videos/2385274.mp4,498,1920,1080,/datadrive3/pure_data/masks/2385274,2385274,0,497,/datadrive3/pure_data/boxs/2385274
The image captures a reflective view in a round mirror surrounded by various makeup products on a wooden surface.,/datadrive3/pure_data/videos/6894273.mp4,951,568,1080,/datadrive3/pure_data/masks/6894273,6894273,0,950,/datadrive3/pure_data/boxs/6894273
 family of three members walking through a lavender field,/datadrive3/pure_data/videos/5124638.mp4,296,1920,1012,/datadrive3/pure_data/masks/5124638,5124638,0,295,/datadrive3/pure_data/boxs/5124638
 a monk performing a ritual outdoors,/datadrive3/pure_data/videos/5416130.mp4,623,568,1080,/datadrive3/pure_data/masks/5416130,5416130,0,622,/datadrive3/pure_data/boxs/5416130
 a boxer taking a break on his corner,/datadrive3/pure_data/videos/4761706.mp4,447,1920,1012,/datadrive3/pure_data/masks/4761706,4761706,0,446,/datadrive3/pure_data/boxs/4761706
 hands water clean sink,/datadrive3/pure_data/videos/3974634.mp4,3168,1920,1080,/datadrive3/pure_data/masks/3974634,3974634,0,3167,/datadrive3/pure_data/boxs/3974634
"An artist squeezes dark blue paint onto a palette, holding a paintbrush ready to create a masterpiece.",/datadrive3/pure_data/videos/4360162.mp4,445,1920,1080,/datadrive3/pure_data/masks/4360162,4360162,0,444,/datadrive3/pure_data/boxs/4360162
 a bridge over a huge waterfall,/datadrive3/pure_data/videos/5762686.mp4,442,1920,1080,/datadrive3/pure_data/masks/5762686,5762686,0,441,/datadrive3/pure_data/boxs/5762686
 couple at the stairs of a church,/datadrive3/pure_data/videos/6284625.mp4,27,568,1080,/datadrive3/pure_data/masks/6284625,6284625,0,26,/datadrive3/pure_data/boxs/6284625
A person in a glittering gold outfit moves dynamically in a dimly-lit room washed with purple and red lights.,/datadrive3/pure_data/videos/4722505.mp4,1045,568,1080,/datadrive3/pure_data/masks/4722505,4722505,0,1044,/datadrive3/pure_data/boxs/4722505
"A person stands confidently with their hands slightly extended against a plain white background, dressed in a dark button-up shirt.",/datadrive3/pure_data/videos/6689099.mp4,593,606,1080,/datadrive3/pure_data/masks/6689099,6689099,0,592,/datadrive3/pure_data/boxs/6689099
"Two individuals recline on a rooftop overlooking a street with parked cars, sharing a moment of relaxation above the city's hustle.",/datadrive3/pure_data/videos/5934124.mp4,858,568,1080,/datadrive3/pure_data/masks/5934124,5934124,0,857,/datadrive3/pure_data/boxs/5934124
 a tennis player practicing his serving game,/datadrive3/pure_data/videos/4902153.mp4,274,598,1080,/datadrive3/pure_data/masks/4902153,4902153,0,273,/datadrive3/pure_data/boxs/4902153
 parents watching their daughter walking in heels,/datadrive3/pure_data/videos/4890366.mp4,189,1920,1080,/datadrive3/pure_data/masks/4890366,4890366,0,188,/datadrive3/pure_data/boxs/4890366
 girl house kitchen apartment,/datadrive3/pure_data/videos/4109493.mp4,34,1920,1012,/datadrive3/pure_data/masks/4109493,4109493,0,33,/datadrive3/pure_data/boxs/4109493
 young woman lying on bed holding notebook,/datadrive3/pure_data/videos/6698408.mp4,517,1920,1012,/datadrive3/pure_data/masks/6698408,6698408,0,516,/datadrive3/pure_data/boxs/6698408
 instructor discussing body parts,/datadrive3/pure_data/videos/6326797.mp4,534,606,1080,/datadrive3/pure_data/masks/6326797,6326797,0,533,/datadrive3/pure_data/boxs/6326797
 playing on piano in music studio,/datadrive3/pure_data/videos/12336851.mp4,290,1920,1080,/datadrive3/pure_data/masks/12336851,12336851,0,289,/datadrive3/pure_data/boxs/12336851
 hands girl cute palms,/datadrive3/pure_data/videos/4714779.mp4,409,1920,1012,/datadrive3/pure_data/masks/4714779,4714779,0,408,/datadrive3/pure_data/boxs/4714779
A person in a grey shirt flips through a notebook while working on a laptop with charts on the screen.,/datadrive3/pure_data/videos/5742451.mp4,612,568,1080,/datadrive3/pure_data/masks/5742451,5742451,0,611,/datadrive3/pure_data/boxs/5742451
 young woman in park,/datadrive3/pure_data/videos/11067423.mp4,192,606,1080,/datadrive3/pure_data/masks/11067423,11067423,0,191,/datadrive3/pure_data/boxs/11067423
A skyscraper under construction with scaffolding and a crane against a backdrop of a cloudy sky and mountainous landscape.,/datadrive3/pure_data/videos/18874435.mp4,445,1920,1080,/datadrive3/pure_data/masks/18874435,18874435,0,444,/datadrive3/pure_data/boxs/18874435
 an elderly man teaching a boy doing fishing using a fishing rod,/datadrive3/pure_data/videos/10413019.mp4,1108,1920,1012,/datadrive3/pure_data/masks/10413019,10413019,0,1107,/datadrive3/pure_data/boxs/10413019
A person wearing dark gym shorts stands still in a gym with exercise equipment in the background.,/datadrive3/pure_data/videos/6893303.mp4,400,1920,1080,/datadrive3/pure_data/masks/6893303,6893303,0,399,/datadrive3/pure_data/boxs/6893303
 two hikers discussing things in the middle of forest,/datadrive3/pure_data/videos/5060174.mp4,460,1920,1080,/datadrive3/pure_data/masks/5060174,5060174,0,459,/datadrive3/pure_data/boxs/5060174
 aerial footage of red rock formations by the sea,/datadrive3/pure_data/videos/10626877.mp4,479,1920,1080,/datadrive3/pure_data/masks/10626877,10626877,0,478,/datadrive3/pure_data/boxs/10626877
 men talking while wearing their judo uniform,/datadrive3/pure_data/videos/6266889.mp4,445,1920,1080,/datadrive3/pure_data/masks/6266889,6266889,0,444,/datadrive3/pure_data/boxs/6266889
 landscape man love people,/datadrive3/pure_data/videos/18077828.mp4,356,606,1080,/datadrive3/pure_data/masks/18077828,18077828,0,355,/datadrive3/pure_data/boxs/18077828
